28.8 12.8 24 7.2 0
27.6 12.8 22.8 9.2 3
23.2 10.4 16 4.8 2
27.2 12.8 23.6 9.2 3
20 14 6.4 2.4 4
21.6 15.6 6.8 1.6 4
18.4 13.6 5.6 1.2 4
20 13.6 6 0.8 4
17.6 11.6 5.6 0.8 4
19.6 12.4 6 0.4 4
21.6 14.8 6 0.8 4
19.2 13.6 6.4 0.8 4
19.2 12 5.6 0.4 4
17.2 12 4.4 0.4 4
23.2 16 4.8 0.8 4
22.8 17.6 6 1.6 4
21.6 15.6 5.2 1.6 4
20.4 14 5.6 1.2 4
22.8 15.2 6.8 1.2 4
20.4 15.2 6 1.2 4
21.6 13.6 6.8 0.8 4
20.4 14.8 6 1.6 4
18.4 14.4 4 0.8 4
20.4 13.2 6.8 2 4
19.2 13.6 7.6 0.8 4
20 12 6.4 0.8 4
20 13.6 6.4 1.6 4
20.8 14 6 0.8 4
20.8 13.6 5.6 0.8 4
18.8 12.8 6.4 0.8 4
19.2 12.4 6.4 0.8 4
21.6 13.6 6 1.6 4
20.8 16.4 6 0.4 4
22 16.8 5.6 0.8 4
19.6 12.4 6 0.4 4
20 12.8 4.8 0.8 4
22 14 5.2 0.8 4
19.6 12.4 6 0.4 4
17.6 12 5.2 0.8 4
20.4 13.6 6 0.8 4
20 14 5.2 1.2 4
18 9.2 5.2 1.2 4
17.6 12.8 5.2 0.8 4
20 14.4 5.6 0.8 4
20.4 15.2 7.6 1.6 4
19.2 12 5.6 1.2 4
20.4 15.2 6.4 0.8 4
18.4 12.8 5.6 0.8 4
21.2 14.8 6 0.8 4
20 13.2 5.6 0.8 4
28 12.8 18.8 5.6 1
25.6 12.8 18 6 1
27.6 12.4 19.6 6 1
22 9.2 16 5.2 2
26 11.2 18.4 6 1
22.8 11.2 18 5.2 2
25.2 13.2 18.8 6.4 1
19.6 9.6 13.2 4 2
26.4 11.6 18.4 5.2 1
20.8 10.8 15.6 5.6 2
20 8 14 4 2
23.6 12 16.8 6 2
24 8.8 16 4 2
24.4 11.6 18.8 5.6 1
22.4 11.6 14.4 5.2 2
26.8 12.4 17.6 5.6 1
22.4 12 18 6 2
23.2 10.8 16.4 4 2
24.8 8.8 18 6 1
22.4 10 15.6 4.4 2
23.6 12.8 19.2 7.2 1
24.4 11.2 16 5.2 2
25.2 10 19.6 6 1
24.4 11.2 18.8 4.8 1
25.6 11.6 17.2 5.2 1
26.4 12 17.6 5.6 1
27.2 11.2 19.2 5.6 1
26.8 12 20 6.8 1
24 11.6 18 6 1
22.8 10.4 14 4 2
22 9.6 15.2 4.4 2
22 9.6 14.8 4 2
23.2 10.8 15.6 4.8 2
24 10.8 20.4 6.4 1
21.6 12 18 6 2
24 13.6 18 6.4 1
26.8 12.4 18.8 6 1
25.2 9.2 17.6 5.2 1
22.4 12 16.4 5.2 2
22 10 16 5.2 2
22 10.4 17.6 4.8 2
24.4 12 18.4 5.6 1
18.8 12.8 5.2 0.8 4
20 9.2 13.2 4 2
22.4 10.8 16.8 5.2 2
22.8 12 16.8 4.8 2
22.8 11.6 16.8 5.2 2
24.8 11.6 17.2 5.2 1
20.4 10 12 4.4 2
22.8 11.2 16.4 5.2 2
25.2 13.2 24 10 3
23.2 10.8 20.4 7.6 1
28.4 12 23.6 8.4 0
25.2 11.6 22.4 7.2 3
26 12 23.2 8.8 3
30.4 12 26.4 8.4 0
19.6 10 18 6.8 2
29.2 11.6 25.2 7.2 0
26.8 10 23.2 7.2 3
28.8 14.4 24.4 10 0
26 12.8 20.4 8 3
25.6 10.8 21.2 7.6 3
27.2 12 22 8.4 3
22.8 10 20 8 1
23.2 11.2 20.4 9.6 3
25.6 12.8 21.2 9.2 3
26 12 22 7.2 3
30.8 15.2 26.8 8.8 0
30.8 10.4 27.6 9.2 0
24 8.8 20 6 1
19.6 12 5.6 0.8 4
22.4 11.2 19.6 8 1
30.8 11.2 26.8 8 0
25.2 10.8 19.6 7.2 1
26.8 13.2 22.8 8.4 3
20.4 14 5.6 0.8 4
24.8 11.2 19.2 7.2 1
24.4 12 19.6 7.2 1
25.6 11.2 22.4 8.4 3
28.8 12 23.2 6.4 0
29.6 11.2 24.4 7.6 0
31.6 15.2 25.6 8 0
25.6 11.2 22.4 8.8 3
25.2 11.2 20.4 6 1
24.4 10.4 22.4 5.6 1
30.8 12 24.4 9.2 0
25.2 13.6 22.4 9.6 3
25.6 12.4 22 7.2 3
24 12 19.2 7.2 1
27.6 12.4 21.6 8.4 3
26.8 12.4 22.4 9.6 3
27.6 12.4 20.4 9.2 3
23.2 10.8 20.4 7.6 1
18.4 12.4 6 0.8 4
26.8 13.2 22.8 10 3
26.8 12 20.8 9.2 3
25.2 10 20 7.6 1
26 12 20.8 8 3
24.8 13.6 21.6 9.2 3
23.6 12 20.4 7.2 1
